guidelink,channel_id,channel_slug,channel_name,channel_name_location,channel_name_real,chantype,chancomp,channel_url,chanbouq,chanlcnfta1,chanlcnfta2,chanlcnfta3,chanlcnfox,chanlcnfet,channel_number,chlogo_light,chlogo_dark,channel_group,channel_type,chlogo
273191auepg.com.au,273191auepg.com.au,273191auepg-com-au,SBS HD,SBS HD Victoria,SBS ONE HD,HD 1080i,MPEG-4,http://www.sbs.com.au/television,"[301, 304, 305, 306, 307, 308, 302, 1002, 1014]",30,0,0,0,0,,https://i.imgur.com/tKqCF69.png,https://i.imgur.com/tKqCF69.png,Special Broadcasting Service,Free-to-Air,https://i.imgur.com/tKqCF69.png
273204auepg.com.au,273204auepg.com.au,273204auepg-com-au,SBS,SBS Northern Territory,SBS ONE,SD 576i,MPEG-2,http://www.sbs.com.au/television,"[701, 704, 702]",3,0,0,0,0,,https://i.imgur.com/r1oHpPT.png,https://i.imgur.com/r1oHpPT.png,Special Broadcasting Service,Free-to-Air,https://i.imgur.com/r1oHpPT.png
273204auepg.com.au,273204auepg.com.au,273204auepg-com-au,SBS HD,SBS HD Northern Territory,SBS ONE HD,HD 1080i,MPEG-4,http://www.sbs.com.au/television,"[701, 704, 702]",30,0,0,0,0,,https://i.imgur.com/tKqCF69.png,https://i.imgur.com/tKqCF69.png,Special Broadcasting Service,Free-to-Air,https://i.imgur.com/tKqCF69.png
275885auepg.com.au,275885auepg.com.au,275885auepg-com-au,ABC TV,ABC TV Aus. Capital Territory,ABC TV,SD 576i,MPEG-2,http://www.abc.net.au/tv/,"[201, 933]",2,21,0,0,0,,https://i.imgur.com/vgWPOeG.png,https://i.imgur.com/vgWPOeG.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/vgWPOeG.png
275885auepg.com.au,275885auepg.com.au,275885auepg-com-au,ABC TV HD,ABC TV HD Aus. Capital Territory,ABCTV HD,HD 1080i,MPEG-4,http://www.abc.net.au/tv/,"[201, 933]",20,0,0,0,0,,https://i.imgur.com/uk0QgdU.png,https://i.imgur.com/uk0QgdU.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/uk0QgdU.png
275885auepg.com.au,275885auepg.com.au,275885auepg-com-au,ABC TV,ABC TV Aus. Capital Territory,ABC TV,SD 576i,MPEG-2,,"[201, 933]",21,0,0,0,0,,https://i.imgur.com/vgWPOeG.png,https://i.imgur.com/vgWPOeG.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/vgWPOeG.png
275885auepg.com.au,275885auepg.com.au,275885auepg-com-au,ABC TV,ABC TV ACT,ABC TV ACT,HD 720p,MPEG-4,,"[3852, 3741, 5000, 3740]",0,0,0,0,0,,https://i.imgur.com/vgWPOeG.png,https://i.imgur.com/vgWPOeG.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/vgWPOeG.png
275885auepg.com.au,275885auepg.com.au,275885auepg-com-au,ABC TV,ABC TV ACT,ABC TV HD ACT,HD 1080p,MPEG-4,,[3330],0,0,0,102,0,,https://i.imgur.com/vgWPOeG.png,https://i.imgur.com/vgWPOeG.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/vgWPOeG.png
277145auepg.com.au,277145auepg.com.au,277145auepg-com-au,7HD,7HD Albury,7HD Albury,HD 1080i,MPEG-4,http://www.southerncrossaustereo.com.au/tv,[115],6,60,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
277145auepg.com.au,277145auepg.com.au,277145auepg-com-au,7HD,7HD Albury,7HD Albury,HD 1080i,MPEG-4,,[115],60,6,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
